,val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,Unnamed: 6,i,filetype,seed,dataset,method,test_mcc,test_loss,test_step,val_acc,best_val_acc,test_acc,val_f1,val_acc_and_f1,Unnamed: 8,test_f1,test_acc_and_f1,val_pearson,val_spearmanr,val_corr,best_val_spearmanr,test_pearson,test_spearmanr,test_corr
159,0.545062,0.545882,0.57122,1.3e-05,0.316227,320.0,,3,raw_log,37,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
160,0.528428,0.617696,0.57122,1.1e-05,0.265601,400.0,,4,raw_log,37,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
161,0.556842,0.455195,0.57122,9e-06,0.259632,480.0,,5,raw_log,37,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
162,0.580622,0.579112,0.580622,7e-06,0.22454,560.0,,6,raw_log,37,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
163,0.575679,0.655882,0.580622,5e-06,0.139981,640.0,,7,raw_log,37,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
164,0.587761,0.587736,0.587761,2e-06,0.149042,720.0,,8,raw_log,37,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
165,0.559688,0.656559,0.587761,0.0,0.160138,800.0,,9,raw_log,37,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
166,0.559688,0.656368,0.587761,0.0,0.126088,804.0,,10,raw_log,37,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
167,,,,,,,,0,test_last_log,37,CoLA,standard_debiased,0.6458,0.6458,804.0,,,,,,,,,,,,,,,
168,,,,,,,,0,test_best_log,37,CoLA,standard_debiased,0.6458,0.6448,804.0,,,,,,,,,,,,,,,
169,0.469037,0.547084,0.469037,2e-05,0.576845,80.0,,0,raw_log,46,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
170,0.560305,0.46598,0.560305,1.8e-05,0.475231,160.0,,1,raw_log,46,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
171,0.528996,0.439728,0.560305,1.6e-05,0.418093,240.0,,2,raw_log,46,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
172,0.51784,0.541866,0.560305,1.3e-05,0.329074,320.0,,3,raw_log,46,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
173,0.575502,0.424449,0.575502,1.1e-05,0.294104,400.0,,4,raw_log,46,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
174,0.602039,0.405911,0.602039,9e-06,0.26529,480.0,,5,raw_log,46,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
175,0.565219,0.516924,0.602039,7e-06,0.248174,560.0,,6,raw_log,46,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
176,0.54949,0.621952,0.602039,5e-06,0.163087,640.0,,7,raw_log,46,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
177,0.555471,0.57066,0.602039,2e-06,0.146708,720.0,,8,raw_log,46,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
178,0.560056,0.591203,0.602039,0.0,0.157244,800.0,,9,raw_log,46,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
179,0.560056,0.590648,0.602039,0.0,0.289536,804.0,,10,raw_log,46,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
180,,,,,,,,0,test_last_log,46,CoLA,standard_debiased,0.6421,0.6254,804.0,,,,,,,,,,,,,,,
181,,,,,,,,0,test_best_log,46,CoLA,standard_debiased,0.6371,0.6271,804.0,,,,,,,,,,,,,,,
182,0.435288,0.536469,0.435288,2e-05,0.611531,80.0,,0,raw_log,42,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
183,0.485562,0.51031,0.485562,1.8e-05,0.451762,160.0,,1,raw_log,42,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
184,0.577504,0.448304,0.577504,1.6e-05,0.420143,240.0,,2,raw_log,42,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
185,0.528543,0.565186,0.577504,1.3e-05,0.362316,320.0,,3,raw_log,42,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
186,0.575166,0.462788,0.577504,1.1e-05,0.346996,400.0,,4,raw_log,42,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
187,0.528387,0.515956,0.577504,9e-06,0.315863,480.0,,5,raw_log,42,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
188,0.613817,0.478876,0.613817,7e-06,0.290121,560.0,,6,raw_log,42,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
189,0.571374,0.508118,0.613817,5e-06,0.237614,640.0,,7,raw_log,42,CoLA,standard_debiased,,,,,,,,,,,,,,,,,,
